,course_title,price,num_subscribers,num_reviews,num_lectures,content_duration,published_date,subject,Beginner Level,Expert Level,Intermediate Level
39,The Complete Investment Banking Course 2017,195,8575,809,110,5.5,2016-10-10,Business Finance,0,0,0
40,The Complete Financial Analyst Course 2017,195,24481,2347,174,10.0,2016-01-21,Business Finance,0,0,0
41,Python for Finance: Investment Fundamentals & Data Analytics,195,3811,278,103,6.5,2017-03-30,Business Finance,0,0,0
42,Financial Modeling for Startups & Small Businesses,195,4991,137,79,11.5,2017-03-29,Business Finance,1,0,0
43,Options Trading - How to Win with Weekly Options,115,7489,1190,25,1.0,2015-10-22,Business Finance,0,0,1
44,Black Algo Trading: Build Your Trading Robot,200,20195,1113,227,16.0,2014-10-27,Business Finance,0,0,0
45,Accounting & Financial Statement Analysis: Complete Training,150,10042,594,43,3.0,2015-10-22,Business Finance,0,0,0
46,Cryptocurrency Trading: Complete Guide To Trading Altcoins,95,367,42,35,5.0,2017-06-21,Business Finance,0,0,0
47,Forex Robots: Expect To Earn 175% P.A. Forex Robot Included!,200,10603,872,42,5.5,2014-10-12,Business Finance,0,0,0
48,Three Steps Trading - Live Trading - Real Account,190,1197,11,46,5.0,2017-05-24,Business Finance,0,0,0
49,Option Trading for Rookies:  Understand Options Completely,150,2893,65,62,2.0,2016-08-10,Business Finance,0,0,0
50,How I Learned Stock Trading (and How You Can Too),200,1580,12,53,2.0,2017-05-02,Business Finance,0,1,0
51,Learn to Trade for Profit: Find and Trade Winning Stocks,95,10605,71,77,3.0,2014-10-24,Business Finance,0,0,0
52,Trading Inside Bars - Master 1 Easy Pattern To Be Successful,125,2996,200,23,2.0,2015-03-09,Business Finance,0,0,1
53,Four Fundamentals of Financial Planning,30,6219,23,20,1.0,2017-02-14,Business Finance,0,0,0
54,Options Trading - Calendar Spread Course for Every Trader,200,1113,11,17,1.5,2017-04-02,Business Finance,0,0,0
55,Dividend Investing: Build Your Portfolio for a Better Future,60,8314,83,47,4.0,2015-01-24,Business Finance,1,0,0
56,Learn Accounting. Understand Business.,200,5572,123,33,5.5,2014-03-27,Business Finance,1,0,0
57,How to Consistently Win Trading Stocks in 30 Days or Less,145,1433,169,15,1.0,2016-05-09,Business Finance,0,0,1
58,A Beginner's Guide to Quantopian Futures API,20,936,6,11,1.5,2017-04-11,Business Finance,0,0,1
59,How to Buy Cheap Options - Options Trading Pricing Model,200,658,2,19,1.0,2017-06-02,Business Finance,0,0,0
60,Excel Crash Course: Master Excel for Financial Analysis,105,8121,689,40,3.5,2016-10-18,Business Finance,0,0,0
61,"Comprehensive Guide to Financial Markets, Investing &Trading",60,4187,600,79,9.0,2016-02-29,Business Finance,1,0,0
62,Stock Trading Ninja: Complete System For Trading Success,155,9445,497,38,4.5,2014-02-19,Business Finance,0,0,0
63,Hedge and Mutual Fund Careers: The Complete Guide,200,3255,340,102,8.5,2016-06-20,Business Finance,0,0,0
64,Algorithmic Trading In Forex: Create Your First Forex Robot!,185,7941,713,40,6.5,2014-08-11,Business Finance,0,0,0
65,The Power Modeling Bootcamp: Advanced Excel in 10 Days,150,1680,158,76,5.5,2016-11-26,Business Finance,0,0,0
66,Options Trading Basics (3-Course Bundle),180,10100,985,45,11.0,2013-02-25,Business Finance,1,0,0
67,How to Win 97% of Your Options Trades,125,5050,461,26,1.5,2015-02-10,Business Finance,0,0,0
68,How I Make Consistent Returns Trading Options,200,2310,162,26,3.5,2016-10-05,Business Finance,0,0,0
69,"Forex Strategies: Kelly Criterion, Larry Williams and more!",185,5528,506,32,3.0,2015-02-19,Business Finance,0,0,0
70,"Elite Trend Trader: Learn To Trade Stocks, Options & Forex",125,6451,237,28,5.0,2014-04-16,Business Finance,0,0,0
71,Options Trading Introduction: Day Trade Stock Options,95,12394,218,30,2.5,2015-02-20,Business Finance,1,0,0
72,The Almost Perfect Options Trading Strategy System - Unique,200,1793,18,15,1.0,2017-03-03,Business Finance,0,0,0
73,Forex Trading -  Learn to Trade Forex Like the Banks,20,3223,240,23,1.0,2016-03-30,Business Finance,0,0,0
74,Learn to Trade for Profit:Trading with Japanese Candlesticks,60,16385,273,45,3.0,2014-09-02,Business Finance,1,0,0
75,The Most Powerful Options Spread Trading Front Ratio Spread,200,1487,16,18,2.0,2017-03-08,Business Finance,0,0,0
76,What Finance Job is for You? Explanation of 14 Finance Roles,200,2951,232,60,4.0,2016-05-04,Business Finance,0,0,0
77,The Blueprint for Successful Stock Trading,120,2697,331,15,1.0,2015-08-13,Business Finance,0,0,0
78,Trading for Beginners - Intermediate Level,150,3979,40,39,5.0,2016-11-09,Business Finance,1,0,0
79,Start Trading Stocks Using Technical Analysis!,25,3190,244,45,4.0,2016-02-03,Business Finance,0,0,0
80,Learn How to Set Up an Incubator Hedge Fund - Step-by-Step,200,1406,71,54,1.5,2017-01-18,Business Finance,0,1,0
81,VPS for Forex Trading - Protect Your Forex Robots,160,4252,225,24,2.0,2014-09-19,Business Finance,0,0,0
82,Introduction to Accounting: The Language of Business,20,11958,370,134,11.5,2014-10-02,Business Finance,1,0,0
83,Basic Excel for Basic Bookkeeping and Accounting,95,7743,340,33,1.5,2015-09-10,Business Finance,1,0,0
84,"Using 'The Greeks To Understand Options""",50,2134,55,5,1.0,2016-07-13,Business Finance,0,0,0
85,Trading Options For Consistent Returns: Calendar Spreads,200,1214,69,20,1.5,2016-10-07,Business Finance,0,0,0
86,How to Create Your Personal Budget,20,3870,53,10,1.0,2016-03-21,Business Finance,0,0,0
87,The Complete Value Investing Course: A Proven Approach,200,2146,212,49,4.5,2015-06-16,Business Finance,0,0,0
88,FOREX Trading with Price Action,195,484,57,19,1.0,2017-03-14,Business Finance,1,0,0
89,Emini ES Futures - Advanced Non Directional Options Trading,200,1057,15,14,1.5,2017-01-11,Business Finance,0,0,0
90,Forex Trading - Advanced Fundamental Analysis,20,1754,100,49,2.5,2016-06-30,Business Finance,0,0,1
91,How To Invest With Tiny Capital In Stocks ?,20,1239,5,6,0.7,2017-05-23,Business Finance,1,0,0
92,Learn How To Successfully Trade Stocks: In 5 Simple Steps,95,2493,276,108,9.5,2015-01-31,Business Finance,0,0,0
93,Forex MetaTrader 4: Master MT4 Like A Pro Forex Trader,150,2602,402,57,5.0,2015-10-28,Business Finance,1,0,0
94,Intermediate Options trading concepts for Stocks and Options,40,2000,30,9,1.0,2015-04-13,Business Finance,0,0,0
95,Options Trading 101: The Basics,0,1514,66,11,0.55,2017-03-23,Business Finance,1,0,0
96,Practical Accounts APP Overview,20,1361,1,14,3.0,2016-10-04,Business Finance,0,0,1
97,Bitcoin Profits for Beginners,100,61,18,30,1.5,2017-06-09,Business Finance,1,0,0
98,Trend Traders Club: How To Find And Trade Fast Moving Trends,75,1513,31,60,5.5,2015-08-04,Business Finance,0,0,0
99,Financial Statements Basics,20,1374,19,9,2.0,2016-01-14,Business Finance,1,0,0
100,High performance Stock Trading using key Options techniques,40,2103,15,6,1.5,2015-04-12,Business Finance,0,0,0
101,Introduction to Financial Statement Analysis,20,1480,25,25,1.5,2016-03-21,Business Finance,1,0,0
102,Basics of Economics (College Level),25,2516,12,20,1.5,2015-01-08,Business Finance,0,0,0
103,Stock Market Investing for Beginners,0,50855,2698,15,1.5,2013-12-25,Business Finance,1,0,0
104,Accounting for Beginners : Learn Basics in under 1 Hour,50,1971,13,20,1.5,2015-12-03,Business Finance,1,0,0
105,Straddle Options Trading - Profit in Any Market Direction,200,837,9,19,1.0,2016-10-03,Business Finance,0,0,0
106,Fundamentals of Forex Trading,0,17160,620,23,1.0,2014-08-29,Business Finance,0,0,0
107,"Binary Options: Trading Strategies, 90% Accuracy and Signals",195,1723,38,24,1.0,2015-12-14,Business Finance,1,0,0
108,Website Investing 101 - Buying & Selling Online Businesses,0,6811,151,51,2.0,2016-08-05,Business Finance,0,0,0
109,Practical Accounts & Bookkeeping Automated Overview ,20,2060,17,30,4.5,2016-01-28,Business Finance,0,0,0
110,Live Account - ETF Trading System - Hacking The Stock Market,150,2318,19,16,5.0,2014-12-31,Business Finance,0,0,0
111,Stock Market Leverage: How to Start Trading Options Wisely,95,2153,14,13,1.5,2015-07-27,Business Finance,1,0,0
112,Stock Market Foundations,0,19339,794,9,2.0,2014-03-31,Business Finance,1,0,0
113,Crash Course on Working Capital Management,20,3177,8,8,1.0,2015-04-16,Business Finance,0,0,0
114,Advanced Accounting A Complete Study for CA / CMA / CFA / CS,150,1535,16,462,62.0,2016-06-03,Business Finance,0,0,0
115,61% Profit In 1 Month - Crush Your Forex Trading Paradigm,20,1027,29,25,1.5,2016-07-18,Business Finance,0,0,0
116,How to create a routine Trading,25,307,8,5,0.1333333333333333,2017-05-01,Business Finance,0,0,0
117,"Forex Trading Secrets |MT4 Robot (EA) inside, no coding",150,2096,48,29,0.6833333333333333,2015-08-24,Business Finance,0,0,0
118,Forex SOS Course: Trading Tweaks And Working Forex Strategy,50,1315,48,59,2.5,2015-11-18,Business Finance,1,0,0
119,Introduction to Financial Modeling,0,29167,1463,8,1.5,2014-05-27,Business Finance,0,0,1
120,Quantitative Aptitude for Banking & Competitive Examinations,50,1056,1,42,3.0,2017-02-09,Business Finance,0,0,0
121,Option Spreads and Credit Spreads Bundle,180,2212,194,24,4.5,2013-03-05,Business Finance,0,1,0
122,B Com Accountancy I (Paper ECO 02 IGNOU),50,2946,6,284,31.5,2016-05-05,Business Finance,0,0,0
123,FOREX TRADING - Learn in a quick + profitable way + support,100,271,48,47,3.5,2017-02-20,Business Finance,0,0,0
124,Auditing Basics (Professional Course Level),25,3771,10,35,2.5,2015-02-13,Business Finance,0,0,0
125,Stock market Investing Encyclopedia: How to invest in stocks,200,3143,11,39,3.0,2015-11-10,Business Finance,0,0,1
126,Learn the basics of preparing accounting statements,20,1951,30,20,0.55,2015-10-13,Business Finance,0,0,1
127,Elliott Wave -Forex Trading With The Elliott Wave Theory,90,4022,35,14,1.0,2016-12-15,Business Finance,0,1,0
128,Corporate Finance - A Brief Introduction,0,11724,649,17,1.5,2016-03-04,Business Finance,1,0,0
129,Excel functions to analyze and visualize data,20,2283,54,16,2.0,2015-04-20,Business Finance,0,0,1
130,Building Financial Statements in Excel,35,1181,1,18,1.0,2017-06-29,Business Finance,1,0,0
131,Transfer Pricing A Complete Analysis,50,1852,3,14,2.5,2016-12-28,Business Finance,0,0,0
132,Accounting: Get Hired Without Work Experience,100,4661,187,20,1.0,2014-09-01,Business Finance,0,0,0
133,Forex Trading for Beginners - Basics,50,989,9,11,1.0,2017-04-24,Business Finance,0,0,0
134,Basic Bookkeeping Hacks,20,5841,16,28,1.5,2016-06-14,Business Finance,0,0,0
135,Complete Trading Plan Course for Stocks & Forex (10 Hours),200,1087,14,61,9.5,2017-03-23,Business Finance,0,0,0
136,"Forex Trading with Fixed 'Risk through Options Trading""",200,611,4,26,1.0,2017-06-07,Business Finance,1,0,0
137,"Intro to Investment Banking, M&A, IPO, Modeling + Free Book",60,1922,149,15,20.0,2016-01-21,Business Finance,0,0,0
138,How to Pick The Right Penny Stocks To Invest In 2017,150,9015,65,23,2.5,2014-07-01,Business Finance,0,0,0
139,Top 10 Trading Ideas in the Equities Market,20,661,4,12,1.0,2017-05-02,Business Finance,0,0,0
140,Intro to Financial Modeling,105,1077,110,55,6.0,2016-08-19,Business Finance,1,0,0
141,Shark Accounting - Building a Business by the Numbers!,20,6050,140,17,1.5,2014-05-18,Business Finance,1,0,0
142,Forex Trading MAKE YOUR FIRST TRADE TODAY!,150,3523,46,45,4.0,2016-01-10,Business Finance,0,0,0
143,Accounting in 60 Minutes - A Brief Introduction,0,56659,4397,16,1.5,2013-04-07,Business Finance,1,0,0
144,SAP FICO For Beginners - A Guide to SAP Financial Accounts,100,1444,101,59,5.0,2016-07-25,Business Finance,1,0,0
145,Learn how to double your Forex Trading Account in one trade,60,2900,424,36,2.5,2014-10-19,Business Finance,0,0,1
146,"Accounting Superpowers: Learn Accounts, Understand Business!",200,1437,96,34,2.5,2016-08-08,Business Finance,1,0,0
147,Python Algo Trading: FX Trading with Oanda,200,453,42,33,3.0,2017-03-14,Business Finance,0,0,1
148,Save on Your Taxes,20,2437,12,23,1.5,2016-11-16,Business Finance,0,0,0
149,Financial Model Basics: Build a model from start to finish,30,5057,142,13,1.0,2015-02-06,Business Finance,1,0,0
150,Option Trading for Rookies: The Covered Call Option Strategy,95,6092,25,29,1.5,2016-11-03,Business Finance,1,0,0
151,EFT for Stock Options Trading Success & Making Better Trades,95,4530,13,31,1.5,2015-08-06,Business Finance,0,0,0
152,Learn to Trade the Stock Market without Blowing Your Profits,60,6967,16,34,1.0,2017-05-02,Business Finance,0,0,0
153,Get a Credit Repair Publication On Amazon and Live LIFE..,20,727,11,25,3.0,2017-04-26,Business Finance,1,0,0
154,Fundamentals of Accounting,20,1560,43,25,3.0,2016-08-31,Business Finance,0,0,0
155,"RSI, Options Trading & Technical Analysis (3 Course Bundle)",200,1047,9,46,3.5,2017-01-26,Business Finance,0,0,0
156,Basics of Mutual Funds for CA / CMA / CS / CFA Exams,125,1045,2,17,1.0,2017-04-24,Business Finance,0,0,1
157,Accounting 101: How to read an Accounting Balance Sheet,200,3050,86,22,2.0,2015-01-27,Business Finance,1,0,0
158,Stock Options Day Trading Mindset for Success,200,2988,21,43,4.5,2015-09-29,Business Finance,0,0,0
159,Introduction to bookkeeping and Accounting,35,2623,158,20,1.0,2015-08-21,Business Finance,1,0,0
160,Learn to Trade The News,200,1924,351,544,46.5,2015-07-16,Business Finance,0,0,0
161,"Value Investing, Taught by Six Superinvestors",200,3804,267,66,5.0,2015-06-19,Business Finance,0,0,0
162,Trading for everyone - The Independent Investor Course I,120,4133,15,36,4.0,2015-10-08,Business Finance,1,0,0
163,Get Acquired: Learn From The Head Of Acquisitions For eBay,195,1420,70,29,2.5,2016-04-28,Business Finance,0,0,0
164,Stock Market investment: Practical Accounting,125,1120,6,43,3.0,2017-01-23,Business Finance,1,0,0
165,"How to remove 'Risk from Penny Stocks - Options Trading""",200,668,12,22,1.0,2017-02-07,Business Finance,0,0,0
166,Accounting Basics in 66 Minutes (absolutely for beginners),25,4086,31,14,1.5,2015-03-08,Business Finance,0,0,0
167,"Tax Accounting: Difficult Topic, Made Easy to Understand",200,1033,10,29,2.0,2017-01-11,Business Finance,0,0,0
168,Analysis of Company Financial Statements,20,832,34,34,1.5,2016-12-07,Business Finance,0,0,0
169,Forex Trading Like Banks – Step by Step with Live Examples,195,677,45,40,4.5,2016-12-18,Business Finance,0,0,0
170,Fundamentals of Investing!,20,3125,54,13,2.0,2015-08-09,Business Finance,1,0,0
171,Bank Financial Management A Comprehensive Study,50,1081,6,21,1.5,2017-02-10,Business Finance,0,0,0
172,Learn to Trade Forex and Stocks: From Beginner to Advanced,200,1645,25,42,2.0,2016-09-07,Business Finance,0,0,0
173,"Master 'Technical Analysis and Chart reading skills Bundle""",120,3348,352,13,3.0,2013-02-25,Business Finance,0,0,0
174,Naked Put Options Trade Covered Call & Poor Man Covered Call,200,939,7,19,1.5,2017-02-10,Business Finance,0,0,0
175,The Ultimate Guide to Dividend & Dividend Growth Investing,200,2115,59,88,5.5,2015-11-13,Business Finance,0,0,0
176,Charting for Beginners 101: Technical Analysis Demystified,45,2230,102,10,1.5,2015-10-09,Business Finance,0,0,0
177,Build a DCF Valuation Model,50,2053,234,44,5.5,2014-10-01,Business Finance,0,0,0
178,Introductory Financial Accounting,80,1793,265,54,10.0,2012-10-03,Business Finance,1,0,0
179,Introduction to Cryptocurrencies and Blockchain,0,3775,138,11,2.0,2017-05-01,Business Finance,1,0,0
180,Trade Pullback Candlestick Strategy - Make Consistent Pips,200,521,67,24,3.0,2016-02-24,Business Finance,0,0,0
181,Accounting Standards Basics (Professional Course Level),20,2222,9,12,0.7,2015-02-07,Business Finance,0,0,0
182,Use the Magic Multiple Moving Average Forex Trading system,50,1097,252,10,1.0,2014-11-08,Business Finance,0,0,1
183,QuickBooks 2015 Training for Newbies,200,2506,21,76,6.0,2015-05-11,Business Finance,1,0,0
184,TRADING PSYCHOLOGY: Trading Mindset Mastery,120,975,23,23,1.0,2015-09-30,Business Finance,0,0,1
185,Option Trading: How to Adjust Delta-Neutral Strangles!,145,1398,15,26,1.5,2015-10-19,Business Finance,0,0,0
186,Profitable binary option trading strategy,195,1096,24,24,1.5,2015-10-29,Business Finance,0,0,0
187,Tax Strategy: Financial Planning for Beginners,200,1703,59,25,2.0,2014-11-04,Business Finance,0,0,0
188,Accounting 2 Simplified for You,45,1446,23,27,5.0,2014-12-09,Business Finance,1,0,0
189,Project Funding Modelling (for Professionals),20,2736,3,8,1.5,2014-12-29,Business Finance,0,0,0
190,Investing: How I Consistently Beat The Stock Market,200,2000,31,34,4.5,2014-12-11,Business Finance,0,0,0
191,Bookkeeping Basics:  Understand the Fundamentals,75,853,45,48,4.5,2016-11-06,Business Finance,1,0,0
192,Leasing - A Comprehensive Study (Professional Course Level),20,3094,2,22,3.5,2015-07-17,Business Finance,0,0,0
193,Trading Options For Consistent Returns: Options Basics,0,4077,281,20,1.5,2016-08-18,Business Finance,1,0,0
194,TechniTrader Leading Hybrid Indicator Trading,20,4117,54,5,1.0,2013-04-04,Business Finance,0,0,1
195,Financial modeling: Build a DCF equity valuation model,20,1369,17,31,1.5,2016-03-06,Business Finance,0,0,0
196,CryptoArbitrager: Bitcoin Trading Robot (no mining),150,1224,42,14,0.55,2016-03-23,Business Finance,0,0,0
197,Accounting Is Easy (for Beginners),20,3870,12,90,9.0,2014-05-20,Business Finance,0,0,0
198,Non Directional Weekly Options Trading System - ETF & Emini,200,897,22,21,2.0,2016-05-24,Business Finance,0,0,0
199,The Complete Position Trading Course: Position Trading Stock,45,1311,36,5,1.0,2016-01-15,Business Finance,0,0,0
200,Master Iron Condors - Double the credit for half the risk,60,1338,139,7,1.0,2013-03-02,Business Finance,0,1,0
201,Basics of investing in Mutual Funds,20,1589,26,42,1.5,2015-03-03,Business Finance,0,0,1
202,A Value Investing Approach to the Stock Market,20,1189,12,15,1.5,2015-02-19,Business Finance,0,0,0
203,Learn how to INVEST for huge profits or make it big trading!,50,701,12,37,5.5,2015-06-19,Business Finance,0,0,0
204,"How to Fund your Million Dollar Idea: Equity, Debt, Unfund",50,1105,3,54,6.0,2015-02-11,Business Finance,0,0,1
205,Mastering Candlestick Charting : High Probability Trading,50,123,16,35,2.0,2015-09-22,Business Finance,0,0,0
206,Binary Options Course - Level 2,0,5874,207,9,2.0,2014-06-26,Business Finance,0,0,1
207,Stock Technical Analysis with R,50,354,32,49,7.0,2016-03-18,Business Finance,0,0,0
208,"Get to know the VIX Index (aka 'The Fear Index)""",60,727,64,9,1.0,2013-03-08,Business Finance,0,0,0
209,Apply finance concepts for smart project management,0,3465,161,24,2.0,2016-02-23,Business Finance,1,0,0
210,Introduction to Futures Trading and Live Trade Demonstration,60,54,4,6,0.7166666666666667,2017-05-24,Business Finance,0,1,0
211,Crowdfunding to Win,40,627,15,15,1.5,2015-09-23,Business Finance,0,0,0
212,Comprehensive Forex Mastery Program,45,650,107,97,10.0,2013-02-07,Business Finance,0,0,0
213,Preparation of Consolidated Financial Statements (Basic),0,965,0,18,1.5,2017-06-28,Business Finance,0,0,1
214,Succeed in Bonds Even if You Don't Know Where to Start,200,1113,6,8,1.0,2017-02-03,Business Finance,0,0,0
215,Learn to Trade for Profit: Ten Most Profitable Trading Rules,95,739,28,45,2.0,2014-12-23,Business Finance,0,0,0
216,Succeed in Lotto Even if You Don't Know Where to Start!,20,1201,12,18,1.5,2017-05-11,Business Finance,0,0,0
217,CFA Corporate Finance Level 2,50,2474,6,128,17.5,2015-07-07,Business Finance,0,0,0
218,Pin Bars: The Most Powerful Forex Trading Signal,200,494,16,19,1.0,2016-08-10,Business Finance,0,0,0
219,Stock Options Trades Using Interactive Brokers,95,1580,26,14,1.0,2015-09-07,Business Finance,0,0,1
220,Introduction to Options - Strategies For Consistent Profits,40,617,44,55,4.5,2015-08-16,Business Finance,0,0,0
221,Risk in Forex Transactions - for CA / CS / CFA exams,20,2235,3,9,1.0,2015-09-29,Business Finance,0,0,0
222,Basics of Business Statistics (College Level),20,2293,9,28,2.0,2015-01-06,Business Finance,0,0,0
223,"Trading Seasonal Price Patterns in Stocks, Futures, & Forex!",200,1094,8,13,2.0,2016-03-30,Business Finance,1,0,0
224,Interpreting Financial Statements,20,1449,29,23,1.5,2013-06-06,Business Finance,1,0,0
225,Introduction to Bookkeeping (Accounting),20,3251,10,59,12.0,2014-01-31,Business Finance,1,0,0
226,CREDIT SPREAD SURGERY - Bear Call and Bull Put Mastery ,60,607,55,16,2.0,2013-03-05,Business Finance,0,0,1
227,Investment Banking: How to Land a Job on Wall Street,75,1218,30,63,3.5,2015-06-11,Business Finance,0,0,0
228,Learn To Invest In Index Funds and ETFs In 7 Easy Steps,20,1132,33,18,1.0,2015-07-20,Business Finance,0,0,0
229,Financial modeling: Build a multiples valuation model,20,656,17,20,1.5,2016-05-30,Business Finance,0,0,0
230,Trade Recap I - A Real Look at Futures Options Markets,20,3339,4,11,1.5,2014-02-17,Business Finance,1,0,0
231,Advanced Stock Options for Serious Equity Investors!,200,1271,23,7,1.5,2015-09-22,Business Finance,0,1,0
232,Trading Binary Options for Fun and Profit,20,1574,24,46,2.0,2015-02-21,Business Finance,0,0,0
233,CFA: Fast Track your career in Finance,20,1393,27,21,2.0,2015-09-29,Business Finance,1,0,0
234,How to be a Profitable Forex Trader,20,1029,13,7,0.6833333333333333,2016-05-04,Business Finance,0,0,0
235,Excel Dashboard - Interactive Excel Dashboard and Charts,30,843,54,34,3.0,2015-03-19,Business Finance,0,0,0
236,Accounting 101: Learn Business Finance Forecasting in 60mins,95,1730,12,12,1.5,2014-07-24,Business Finance,0,0,0
237,The Securities Trade Lifecycle,50,1182,110,22,4.0,2014-03-12,Business Finance,0,0,0
238,Double your Forex Account using the MAGIC MA trading robot,65,1160,117,24,2.5,2014-12-10,Business Finance,0,0,1
239,Technical Analysis 101: How to Profit During Market Crashes,95,1730,18,53,2.0,2016-01-27,Business Finance,0,0,0
240,Advanced Accounting for Investment Banking,50,1260,80,38,4.0,2014-10-01,Business Finance,0,0,1
241,Investing In Stocks With 10 Simple Rules,95,871,79,59,2.0,2015-06-16,Business Finance,0,0,0
242,Venture Capital. What is it and Why it Matters to You!,50,1566,48,25,2.5,2015-10-14,Business Finance,0,0,0
243,Cash Flow Valuation: Develop Your Financial Literacy,105,2987,23,19,2.0,2014-12-22,Business Finance,0,0,0
244,Direction-Independ Trading - Elite Forex Traders  Strategy,120,973,15,28,2.5,2016-06-21,Business Finance,0,0,0
245,How to Become a Financial Analyst from Scratch!,40,2177,31,38,5.0,2015-07-07,Business Finance,1,0,0
246,First Steps to Trading the Forexmarkets : Technical Analysis,35,1772,19,15,3.5,2016-01-08,Business Finance,1,0,0
247,Financial analysis: Compare performance of companies,20,1850,40,20,1.0,2015-06-01,Business Finance,0,0,0
248,Forex for Beginners: Easy Forex Trading for Beginners,0,1780,32,9,1.0,2017-05-18,Business Finance,1,0,0
249,Investment Crowdfunding 101 (a.k.a Equity Crowdfunding),0,4607,181,11,0.5333333333333333,2016-05-17,Business Finance,1,0,0
